;;;
Informações de Saúde;;;
DATASUS  Tecnologia da Informação a Serviço do SUS;;;
Ajuda;;;
Notas Técnicas;;;
DATASUS;;;
Taxa de desemprego - Brasil;;;
Taxa de desemprego 16a e+ segundo Município;;;
Período: 1991;;;
Município;Taxa de desemprego 16a e+;;
Fonte: IBGE - Censos Demográficos;;;
Notas:;;;
;;;
1. Taxa de desemprego: Percentual da população de 16 anos e mais, economicamente ativa, desocupada.;;;
;;;
Consulte o sítio da Secretaria Estadual de Saúde e do IBGE para mais informações.;;;
;;;
TOTAL;4,9;;
110001 ALTA FLORESTA D'OESTE;1,5;;
110002 ARIQUEMES;2,48;;
110003 CABIXI;2,61;;
110004 CACOAL;2,46;;
110005 CEREJEIRAS;2,64;;
110006 COLORADO DO OESTE;2,44;;
110008 COSTA MARQUES;5,41;;
110009 ESPIGAO D'OESTE;1,06;;
110010 GUAJARA-MIRIM;4,45;;
110011 JARU;3,58;;
110012 JI-PARANA;4,21;;
110013 MACHADINHO D'OESTE;4,2;;
110014 NOVA BRASILANDIA D'OESTE;2,27;;
110015 OURO PRETO DO OESTE;3,38;;
110018 PIMENTA BUENO;3,04;;
110020 PORTO VELHO;5,16;;
110025 PRESIDENTE MEDICI;1,06;;
110028 ROLIM DE MOURA;2,16;;
110029 SANTA LUZIA D'OESTE;1,17;;
110030 VILHENA;2,73;;
110032 SAO MIGUEL DO GUAPORE;0,54;;
110033 NOVA MAMORE;3,44;;
110034 ALVORADA D'OESTE;2,55;;
120005 ASSIS BRASIL;8,9;;
120010 BRASILEIA;2,78;;
120020 CRUZEIRO DO SUL;4,43;;
120030 FEIJO;2,09;;
120033 MANCIO LIMA;5,39;;
120034 MANOEL URBANO;20,07;;
120038 PLACIDO DE CASTRO;2,4;;
120040 RIO BRANCO;4,77;;
120045 SENADOR GUIOMARD;2,78;;
120050 SENA MADUREIRA;7,62;;
120060 TARAUACA;2,36;;
120070 XAPURI;3,32;;
130002 ALVARAES;5,67;;
130006 AMATURA;22,51;;
130008 ANAMA;2,31;;
130010 ANORI;7,8;;
130014 APUI;2,79;;
130020 ATALAIA DO NORTE;7,01;;
130030 AUTAZES;14,85;;
130040 BARCELOS;2,81;;
130050 BARREIRINHA;2,91;;
130060 BENJAMIN CONSTANT;7,45;;
130063 BERURI;8,29;;
130068 BOA VISTA DO RAMOS;0,69;;
130070 BOCA DO ACRE;10,15;;
130080 BORBA;8,48;;
130083 CAAPIRANGA;2,68;;
130090 CANUTAMA;4,13;;
130100 CARAUARI;8,74;;
130110 CAREIRO;9,43;;
130115 CAREIRO DA VARZEA;0,79;;
130120 COARI;6,98;;
130130 CODAJAS;7,58;;
130140 EIRUNEPE;12,73;;
130150 ENVIRA;11,48;;
130160 FONTE BOA;3,76;;
130165 GUAJARA;3,82;;
130170 HUMAITA;8,05;;
130180 IPIXUNA;25,57;;
130185 IRANDUBA;3,79;;
130190 ITACOATIARA;6,97;;
130195 ITAMARATI;1,6;;
130200 ITAPIRANGA;9,15;;
130210 JAPURA;1,83;;
130220 JURUA;4,18;;
130230 JUTAI;8,65;;
130240 LABREA;11,1;;
130250 MANACAPURU;6,18;;
130255 MANAQUIRI;10,35;;
130260 MANAUS;10,96;;
130270 MANICORE;5,48;;
130280 MARAA;1,28;;
130290 MAUES;7,3;;
130300 NHAMUNDA;1,86;;
